Country;Airport;Code;Pax 2015;;;;;;;;;;;;;;
Germany;Allgäu-Memmingen;FMM;883 490;;;;;;;;;;;;;;
Germany;Berlin Schönefeld;SXF;8 526 268;;;;;;;;;;;;;;
Germany;Berlin Tegel;TXL;21 005 196;;;;;;;;;;;;;;
Germany;Bremen;BRE;2 660 754;;;;;;;;;;;;;;
Germany;Cologne Bonn;CGN;10 338 375;;;;;;;;;;;;;;
Germany;Dortmund;DTM;1 985 379;;;;;;;;;;;;;;
Germany;Dresden;DRS;1 722 863;;;;;;;;;;;;;;
Germany;Düsseldorf;DUS;22 476 685;;;;;;;;;;;;;;
Germany;Erfurt;ERF;230 436;;;;;;;;;;;;;;
Germany;Frankfurt;FRA;61 032 022;;;;;;;;;;;;;;
Germany;Friedrichshafen;FDH;559 985;;;;;;;;;;;;;;
Germany;Hahn;HHN;2 665 105;;;;;;;;;;;;;;
Germany;Hamburg;HAM;15 610 072;;;;;;;;;;;;;;
Germany;Hannover;HAJ;5 452 669;;;;;;;;;;;;;;
Germany;Karlsruhe/Baden-Baden;FKB;1 051 435;;;;;;;;;;;;;;
Germany;Leipzig/Halle;LEJ;2 317 255;;;;;;;;;;;;;;
Germany;Munich;MUC;40 982 384;;;;;;;;;;;;;;
Germany;Münster/Osnabrück;FMO;817 049;;;;;;;;;;;;;;
Germany;Nürnberg;NUE;3 381 681;;;;;;;;;;;;;;
Germany;Paderborn/Lippstadt;PAD;771 749;;;;;;;;;;;;;;
Germany;Rostock;RLG;190 868;;;;;;;;;;;;;;
Germany;Saarbrücken;SCN;467 092;;;;;;;;;;;;;;
Germany;Stuttgart;STR;10 512 225;;;;;;;;;;;;;;
Germany;Weeze;NRN;1 909 704;;;;;;;;;;;;;;
Gibraltar;Gibraltar;GIB;444 336;;;;;;;;;;;;;;
Greece;All airports;;49 173 910;;;;;;;;;;;;;;
Greece;Alexandroupolis;AXD;168 608;;;;;;;;;;;;;;
Greece;Araxos;GPA;147 512;;;;;;;;;;;;;;
Greece;Athens;ATH;18 028 970;;;;;;;;;;;;;;
Greece;Chania;CHQ;2 750 723;;;;;;;;;;;;;;
Greece;Chios;JKH;195 054;;;;;;;;;;;;;;
Greece;Corfu;CFU;2 437 441;;;;;;;;;;;;;;
Greece;Heraklion;HER;6 138 477;;;;;;;;;;;;;;
Greece;Kalamata;KLX;188 717;;;;;;;;;;;;;;
Greece;Karpathos;AOK;224 364;;;;;;;;;;;;;;
Greece;Kavala;KVA;246 519;;;;;;;;;;;;;;
Greece;Kefallinia;EFL;492 144;;;;;;;;;;;;;;
Greece;Kos;KGS;2 142 586;;;;;;;;;;;;;;
Greece;Mykonos;JMK;873 619;;;;;;;;;;;;;;
Greece;Mytilene;MJT;481 420;;;;;;;;;;;;;;
Greece;Preveza/Lefkas;PVK;387 801;;;;;;;;;;;;;;
Greece;Rhodes;RHO;4 578 196;;;;;;;;;;;;;;
Greece;Samos;SMI;403 056;;;;;;;;;;;;;;
Greece;Santorini;JTR;1 494 686;;;;;;;;;;;;;;
Greece;Skiathos;JSI;365 483;;;;;;;;;;;;;;
Greece;Thessaloniki;SKG;5 592 460;;;;;;;;;;;;;;
Greece;Zakinthos;ZTH;1 267 859;;;;;;;;;;;;;;
Hungary;Budapest;BUD;10 298 963;;;;;;;;;;;;;;
Hungary;Debrecen;DEB;172 118;;;;;;;;;;;;;;
Iceland;Keflavik;KEF;4 855 501;;;;;;;;;;;;;;
Ireland;Major airports;;29 524 865;;;;;;;;;;;;;;
Ireland;Cork;ORK;2 071 210;;;;;;;;;;;;;;
Ireland;Dublin;DUB;25 049 335;;;;;;;;;;;;;;
Ireland;Knock;NOC;689 080;;;;;;;;;;;;;;
Ireland;Shannon;SNN;1 715 240;;;;;;;;;;;;;;
Italy;All airports;;156 789 433;;;;;;;;;;;;;;
Italy;Alghero;AHO;1 677 146;;;;;;;;;;;;;;
Italy;Ancona;AOI;515 834;;;;;;;;;;;;;;
Italy;Bari;BRI;3 968 917;;;;;;;;;;;;;;
Italy;Bologna;BLQ;6 882 013;;;;;;;;;;;;;;
Italy;Brindisi;BDS;2 255 197;;;;;;;;;;;;;;
Italy;Cagliari;CAG;3 714 174;;;;;;;;;;;;;;
Italy;Comiso;CIY;372 672;;;;;;;;;;;;;;
Italy;Catania;CTA;7 101 444;;;;;;;;;;;;;;
Italy;Cuneo;CUF;126 693;;;;;;;;;;;;;;
Italy;Florence;FLR;2 408 225;;;;;;;;;;;;;;
Italy;Genoa;GOA;1 355 972;;;;;;;;;;;;;;
Italy;Lamezia Terme;SUF;2 342 250;;;;;;;;;;;;;;
Italy;Milan Bergamo;BGY;10 412 729;;;;;;;;;;;;;;
Italy;Milan Linate;LIN;9 641 063;;;;;;;;;;;;;;
Italy;Milan Malpensa;MXP;18 572 440;;;;;;;;;;;;;;
Italy;Naples;NAP;6 151 485;;;;;;;;;;;;;;
Italy;Olbia;OLB;2 218 895;;;;;;;;;;;;;;
