Country;Airport;Code;Pax 2015;;;;;;;;;;;;;;
United Kingdom;Glasgow;GLA;8 714 426;;;;;;;;;;;;;;
United Kingdom;Guernsey;GCI;858 193;;;;;;;;;;;;;;
United Kingdom;Humberside;HUY;221 442;;;;;;;;;;;;;;
United Kingdom;Inverness;INV;668 114;;;;;;;;;;;;;;
United Kingdom;Isle Of Man;IOM;781 477;;;;;;;;;;;;;;
United Kingdom;Jersey;JER;1 534 366;;;;;;;;;;;;;;
United Kingdom;Kirkwall/Lerwick;KOI;149 751;;;;;;;;;;;;;;
United Kingdom;Leeds Bradford;LBA;3 446 831;;;;;;;;;;;;;;
United Kingdom;Liverpool;LPL;4 296 763;;;;;;;;;;;;;;
United Kingdom;London City;LCY;4 311 236;;;;;;;;;;;;;;
United Kingdom;London Gatwick;LGW;40 275 430;;;;;;;;;;;;;;
United Kingdom;London Heathrow;LHR;74 958 031;;;;;;;;;;;;;;
United Kingdom;London Luton;LTN;12 265 884;;;;;;;;;;;;;;
United Kingdom;London Southend;SEN;901 424;;;;;;;;;;;;;;
United Kingdom;London Stansted;STN;22 515 500;;;;;;;;;;;;;;
United Kingdom;Manchester;MAN;23 103 950;;;;;;;;;;;;;;
United Kingdom;Newcastle;NCL;4 559 630;;;;;;;;;;;;;;
United Kingdom;Newquay;NQY;250 326;;;;;;;;;;;;;;
United Kingdom;Norwich;NWI;450 723;;;;;;;;;;;;;;
United Kingdom;Prestwick;PIK;609 604;;;;;;;;;;;;;;
United Kingdom;Scatsta;SCS;253 306;;;;;;;;;;;;;;
United Kingdom;Southampton;SOU;1 776 629;;;;;;;;;;;;;;
United Kingdom;Stornoway;SYY;124 981;;;;;;;;;;;;;;
United Kingdom;Sumburgh;LSI;270 370;;;;;;;;;;;;;;
