Country;Airport;Code;Pax 2015;;;;;;;;;;;;;;;;
Colombia;El Yopal;EYP;448747;;;;;;;;;;;;;;;;
Colombia;Ibague-Perales;IBE;158485;;;;;;;;;;;;;;;;
Colombia;Leticia/Alfredo Vasquez Cobo;LET;235419;;;;;;;;;;;;;;;;
Colombia;Manizales-La Nubia;MZL;211949;;;;;;;;;;;;;;;;
Colombia;Medellin/Olaya Herrera;EOH;1086540;;;;;;;;;;;;;;;;
Colombia;Monteria-Los Garzones;MTR;892120;;;;;;;;;;;;;;;;
Colombia;Neiva/Benito Salas;NVA;324043;;;;;;;;;;;;;;;;
Colombia;Pereira-Mateca?as;PEI;1528245;;;;;;;;;;;;;;;;
Colombia;Pasto/Antonio Nariqo;PSO;306413;;;;;;;;;;;;;;;;
Colombia;Quibdo-El Cara?o;UIB;380802;;;;;;;;;;;;;;;;
Colombia;Rionegro-Antioquia/Jose M. Cordova;MDE;6413922;;;;;;;;;;;;;;;;
Colombia;San Andres-Isla/Gustavo Rojas Pinilla;ADZ;1911118;;;;;;;;;;;;;;;;
Colombia;Santa Marta/Simon Bolivar;SMR;1458186;;;;;;;;;;;;;;;;
Colombia;Valledupar/Alfonso Lopez P.;VUP;380264;;;;;;;;;;;;;;;;
Colombia;Villavicencio-Vanguardia;VVC;227129;;;;;;;;;;;;;;;;
Costa Rica;San Jose;SJO;4494875;;;;;;;;;;;;;;;;
Dominican Republic;Samana (El Catey)2;AZS;61400;;;;;;;;;;;;;;;;
Dominican Republic;Cibao/Santiago;STI;635218;;;;;;;;;;;;;;;;
Dominican Republic;Santo Domingo (Las Americas) 2;SDQ;1732670;;;;;;;;;;;;;;;;
Dominican Republic;La Romana;LRM;104427;;;;;;;;;;;;;;;;
Dominican Republic;Puerto Plata (La Union) 2;POP;392622;;;;;;;;;;;;;;;;
Dominican Republic;Punta Cana;PUJ;3206874;;;;;;;;;;;;;;;;
Ecuador;Guayaquil/Jose Joaquin de Olmedo;GYE;0;;;;;;;;;;;;;;;;
El Salvador;San Salvador/Comalapa;SAL;2711621;;;;;;;;;;;;;;;;
Guadeloupe;Pointe-?-Pitre;PTP;2089763;;;;;;;;;;;;;;;;
Guatemala;Guatemala City;GUA;2323360;;;;;;;;;;;;;;;;
Jamaica;Montego Bay;MBJ;3800608;;;;;;;;;;;;;;;;
Martinique;Fort-de-France/Aimé Césaire;FDF;711822;;;;;;;;;;;;;;;;
Mexico;Acapulco 2;ACA;730382;;;;;;;;;;;;;;;;
Mexico;Aguascalientes ;AGU;632800;;;;;;;;;;;;;;;;
Mexico;Cancún;CUN;19596485;;;;;;;;;;;;;;;;
Mexico;Chihuahua 2;CUU;1110513;;;;;;;;;;;;;;;;
Mexico;Ciudad Juarez 2;CJS;863760;;;;;;;;;;;;;;;;
Mexico;Cozumel;CZM;553776;;;;;;;;;;;;;;;;
Mexico;Culiacán 2;CUL;1432315;;;;;;;;;;;;;;;;
Mexico;Durango 2;DGO;315835;;;;;;;;;;;;;;;;
Mexico;Guadalajara;GDL;9788500;;;;;;;;;;;;;;;;
Mexico;Hermosillo;HMO;1349300;;;;;;;;;;;;;;;;
Mexico;Huatulco;HUX;618767;;;;;;;;;;;;;;;;
Mexico;La Paz ;LAP;682500;;;;;;;;;;;;;;;;
Mexico;Leon/Del Bajio (Guanajuato) ;BJX;1492100;;;;;;;;;;;;;;;;
Mexico;Los Mochis ;LMM;290600;;;;;;;;;;;;;;;;
Mexico;Manzanillo ;ZLO;194400;;;;;;;;;;;;;;;;
Mexico;Mazatlán 2;MZT;853409;;;;;;;;;;;;;;;;
Mexico;Mérida;MID;1663616;;;;;;;;;;;;;;;;
Mexico;Mexicali;MXL;593500;;;;;;;;;;;;;;;;
Mexico;Mexico City;MEX;38433012;;;;;;;;;;;;;;;;
Mexico;Minatitlán;MTT;255603;;;;;;;;;;;;;;;;
Mexico;Monterrey 2;MTY;8461917;;;;;;;;;;;;;;;;
Mexico;Morelia;MLM;478200;;;;;;;;;;;;;;;;
Mexico;Oaxaca;OAX;663187;;;;;;;;;;;;;;;;
Mexico;Puerto Vallarta;PVR;3526800;;;;;;;;;;;;;;;;
Mexico;Reynosa 2;REX;507186;;;;;;;;;;;;;;;;
Mexico;San Jose del Cabo;SJD;3652900;;;;;;;;;;;;;;;;
Mexico;San Luis Potosí 2;SLP;444469;;;;;;;;;;;;;;;;
Mexico;Tampico 2;TAM;763744;;;;;;;;;;;;;;;;
Mexico;Tapachula;TAP;265670;;;;;;;;;;;;;;;;
Mexico;Tijuana;TIJ;4870200;;;;;;;;;;;;;;;;
Mexico;Torreón 2;TRC;556449;;;;;;;;;;;;;;;;
Mexico;Veracruz;VER;1249914;;;;;;;;;;;;;;;;
Mexico;Villahermosa;VSA;942895;;;;;;;;;;;;;;;;
Mexico;Zacatecas 2;ZCL;320065;;;;;;;;;;;;;;;;
Mexico;Zihuatanejo 2;ZIH;562099;;;;;;;;;;;;;;;;
Panama;Tocumen International;PTY;13434673;;;;;;;;;;;;;;;;
Paraguay;Silvio Pettirossi;ASU;911603;;;;;;;;;;;;;;;;
Paraguay;Guarani;AGT;27217;;;;;;;;;;;;;;;;
Peru;Arequipa;AQP;1492423,4;;;;;;;;;;;;;;;;
Peru;Ayacucho;AYP;141713;;;;;;;;;;;;;;;;
Peru;Cajamarca;CJA;271357;;;;;;;;;;;;;;;;
Peru;Chiclayo;CIX;432375;;;;;;;;;;;;;;;;
Peru;Cuzco;CUZ;2889176;;;;;;;;;;;;;;;;
Peru;Iquitos;IQT;1043130;;;;;;;;;;;;;;;;
Peru;Juliaca;JUL;434166;;;;;;;;;;;;;;;;
Peru;Lima/Jorge Chavez;LIM;17531429;;;;;;;;;;;;;;;;
Peru;Nazca;NZC;166801;;;;;;;;;;;;;;;;
Peru;Piura;PIU;830851;;;;;;;;;;;;;;;;
Peru;Pucallpa;PCL;496749;;;;;;;;;;;;;;;;
Peru;Puerto Maldonado;PEM;281514;;;;;;;;;;;;;;;;
Peru;Tacna;TCQ;383570;;;;;;;;;;;;;;;;
Peru;Tarapoto;TPP;637862;;;;;;;;;;;;;;;;
Peru;Trujillo;TRU;497093;;;;;;;;;;;;;;;;
Peru;Tumbes;TBP;190134;;;;;;;;;;;;;;;;
Uruguay;Carrascos;MVD;0;;;;;;;;;;;;;;;;
Uruguay;Punta del Este/Capitan Curbelo;PDP;0;;;;;;;;;;;;;;;;
USA;Akron-Canton;CAK;1545997;;;;;;;;;;;;;;;;
USA;Albuquerque;ABQ;4739752;;;;;;;;;;;;;;;;
USA;Atlantic City;ACY;1098664;;;;;;;;;;;;;;;;
USA;Atlanta;ATL;101489887;;;;;;;;;;;;;;;;
USA;Austin-Bergstrom 1;AUS;11897959;;;;;;;;;;;;;;;;
USA;Baltimore/Washington 3;BWI;23823532;;;;;;;;;;;;;;;;
USA;Bentonville/Northwest Arkansas 1;XNA;1290850;;;;;;;;;;;;;;;;
USA;Birmingham;BHM;;;;;;;;;;;;;;;;;
USA;Boise;BOI;2978281;;;;;;;;;;;;;;;;
USA;Boston 3;BOS;33449580;;;;;;;;;;;;;;;;
USA;Buffalo;BUF;0;;;;;;;;;;;;;;;;
USA;Burbank/Bob Hope 5;BUR;3943629;;;;;;;;;;;;;;;;
USA;Charleston;CHS;3415952;;;;;;;;;;;;;;;;
USA;Charlotte;CLT;44876639;;;;;;;;;;;;;;;;
USA;Chicago Midway 1;MDW;22221499;;;;;;;;;;;;;;;;
USA;Chicago O'Hare 1;ORD;76938270;;;;;;;;;;;;;;;;
USA;Cincinnati;CVG;6316617;;;;;;;;;;;;;;;;
USA;Cleveland;CLE;4388038;;;;;;;;;;;;;;;;
USA;Colorado Springs 6;COS;0;;;;;;;;;;;;;;;;
USA;Columbia;CAE;1102011;;;;;;;;;;;;;;;;
USA;Columbus/Port Columbus;CMH;6767788;;;;;;;;;;;;;;;;
USA;Dallas/Fort Worth;DFW;64072468;;;;;;;;;;;;;;;;
USA;Dallas/Love Field 4;DAL;14497498;;;;;;;;;;;;;;;;
USA;Dayton;DAY;1072620;;;;;;;;;;;;;;;;
USA;Denver 1;DEN;54013736;;;;;;;;;;;;;;;;
USA;Des Moines;DSM;2365643;;;;;;;;;;;;;;;;
USA;Detroit;DTW;33440112;;;;;;;;;;;;;;;;
USA;El Paso;ELP;2763213;;;;;;;;;;;;;;;;
USA;Fort Lauderdale;FLL;26941511;;;;;;;;;;;;;;;;
USA;Fort Myers/Southwest Florida;RSW;8371801;;;;;;;;;;;;;;;;
USA;Fresno;FAT;1381980;;;;;;;;;;;;;;;;
