Country;Airport;Code;Pax 2015;;;;
New Zealand;Wellington;WLG;5690412;;;;
ALL NEW ZEALAND AIRPORTS;;;29612033;;;;
Oman;Muscat;MCT;10315180;;;;
Oman;Salalah;SLL;1027578;;;;
Philippines;Clark;CRK;868528;;;;
Philippines;Manila;MNL;35935105;;;;
Singapore;Singapore;SIN;55446000;;;;
;;;;;;;
South Africa;Bloemfontein;BFN;387029;;;;
South Africa;Cape Town;CPT;9407375;;;;
South Africa;Durban;DUR;4786928;;;;
South Africa;East London;ELS;678989;;;;
South Africa;George;GRJ;698187;;;;
South Africa;Johannesburg;JNB;19968413;;;;
South Africa;Kimberley;KIM;161151;;;;
South Africa;Port Elizabeth;PLZ;1584966;;;;
ALL SOUTH AFRICAN AIRPORTS;;;37673038;;;;
South Korea;Busan;PUS;12382150;;;;
South Korea;Cheongju;CJJ;2118492;;;;
South Korea;Daegu;TAE;2027626;;;;
South Korea;Gunsan;KUV;205438;;;;
South Korea;Gwangju;KWJ;1604905;;;;
South Korea;Jeju;CJU;26237562;;;;
South Korea;Muan;MWX;311922;;;;
South Korea;Sacheon;HIN;136512;;;;
South Korea;Seoul Gimpo;GMP;23163778;;;;
South Korea;Seoul Incheon;ICN;49281210;;;;
South Korea;Ulsan;USN;561411;;;;
South Korea;Yangyang;YNY;126325;;;;
South Korea;Yeosu;RSU;413564;;;;
ALL SOUTH KOREAN AIRPORTS;;;118570895;;;;
Taiwan;Hualien;HUN;119232;;;;
Taiwan;Kaohsiung;KHH;6001487;;;;
Taiwan;Kinmen;KNH;2185975;;;;
Taiwan;Makung;MZG;2077659;;;;
Taiwan;Nangan;LZN;223576;;;;
Taiwan;Taichung;RMQ;2343315;;;;
Taiwan;Tainan;TNN;320746;;;;
Taiwan;Taipei Songshan;TSA;5861902;;;;
Taiwan;Taipei Taoyuan;TPE;38473333;;;;
Taiwan;Taitung;TTT;301992;;;;
ALL TAIWAN AIRPORTS;;;57909217;;;;
Thailand;Bangkok Don Mueang;DMK;30304183;;;;
Thailand;Bangkok Suvarnabhumi;BKK;52902110;;;;
Thailand;Chiang Mai;CNX;8365851;;;;
Thailand;Chiang Rai;CEI;1745542;;;;
Thailand;Hat Yai;HDY;3639936;;;;
Thailand;Phuket;HKT;12859356;;;;
ALL THAILAND AIRPORTS;;;109816978;;;;
UAE;Abu Dhabi;AUH;23286632;;;;
UAE;Dubai;DXB;78014841;;;;
UAE;Sharjah;SHJ;10039936;;;;
